----------------------------------------
chain_id_jsonl is NOT loaded
----------------------------------------
fixed_positions_jsonl is NOT loaded
----------------------------------------
pssm_jsonl is NOT loaded
----------------------------------------
omit_AA_jsonl is NOT loaded
----------------------------------------
bias_AA_jsonl is NOT loaded
----------------------------------------
tied_positions_jsonl is NOT loaded
----------------------------------------
bias by residue dictionary is not loaded, or not provided
----------------------------------------
----------------------------------------
Number of edges: 48
Training noise level: 0.2A
Score for 2B3P_new from PDB, mean: 1.0909, std: 0.0000, sample size: 1,  global score, mean: 1.0909, std: 0.0000, sample size: 1
Score for 2B3P_new_1 from FASTA, mean: 2.9702, std: 0.0000, sample size: 1,  global score, mean: 2.9702, std: 0.0000, sample size: 1
Score for 2B3P_new_2 from FASTA, mean: 2.9985, std: 0.0000, sample size: 1,  global score, mean: 2.9985, std: 0.0000, sample size: 1
Score for 2B3P_new_3 from FASTA, mean: 2.9421, std: 0.0000, sample size: 1,  global score, mean: 2.9421, std: 0.0000, sample size: 1
Score for 2B3P_new_4 from FASTA, mean: 2.9347, std: 0.0000, sample size: 1,  global score, mean: 2.9347, std: 0.0000, sample size: 1
Score for 2B3P_new_5 from FASTA, mean: 2.9406, std: 0.0000, sample size: 1,  global score, mean: 2.9406, std: 0.0000, sample size: 1
Score for 2B3P_new_6 from FASTA, mean: 2.9787, std: 0.0000, sample size: 1,  global score, mean: 2.9787, std: 0.0000, sample size: 1
Score for 2B3P_new_7 from FASTA, mean: 3.0293, std: 0.0000, sample size: 1,  global score, mean: 3.0293, std: 0.0000, sample size: 1
Score for 2B3P_new_8 from FASTA, mean: 2.8925, std: 0.0000, sample size: 1,  global score, mean: 2.8925, std: 0.0000, sample size: 1
Score for 2B3P_new_9 from FASTA, mean: 2.9306, std: 0.0000, sample size: 1,  global score, mean: 2.9306, std: 0.0000, sample size: 1
Score for 2B3P_new_10 from FASTA, mean: 2.9194, std: 0.0000, sample size: 1,  global score, mean: 2.9194, std: 0.0000, sample size: 1
Score for 2B3P_new_11 from FASTA, mean: 2.9025, std: 0.0000, sample size: 1,  global score, mean: 2.9025, std: 0.0000, sample size: 1
Score for 2B3P_new_12 from FASTA, mean: 2.9181, std: 0.0000, sample size: 1,  global score, mean: 2.9181, std: 0.0000, sample size: 1
Score for 2B3P_new_13 from FASTA, mean: 2.9620, std: 0.0000, sample size: 1,  global score, mean: 2.9620, std: 0.0000, sample size: 1
Score for 2B3P_new_14 from FASTA, mean: 2.8925, std: 0.0000, sample size: 1,  global score, mean: 2.8925, std: 0.0000, sample size: 1
Score for 2B3P_new_15 from FASTA, mean: 2.9837, std: 0.0000, sample size: 1,  global score, mean: 2.9837, std: 0.0000, sample size: 1
Score for 2B3P_new_16 from FASTA, mean: 2.9870, std: 0.0000, sample size: 1,  global score, mean: 2.9870, std: 0.0000, sample size: 1
Score for 2B3P_new_17 from FASTA, mean: 2.9141, std: 0.0000, sample size: 1,  global score, mean: 2.9141, std: 0.0000, sample size: 1
Score for 2B3P_new_18 from FASTA, mean: 2.9020, std: 0.0000, sample size: 1,  global score, mean: 2.9020, std: 0.0000, sample size: 1
Score for 2B3P_new_19 from FASTA, mean: 3.0002, std: 0.0000, sample size: 1,  global score, mean: 3.0002, std: 0.0000, sample size: 1
Score for 2B3P_new_20 from FASTA, mean: 2.9862, std: 0.0000, sample size: 1,  global score, mean: 2.9862, std: 0.0000, sample size: 1
Score for 2B3P_new_21 from FASTA, mean: 2.9364, std: 0.0000, sample size: 1,  global score, mean: 2.9364, std: 0.0000, sample size: 1
