----------------------------------------
chain_id_jsonl is NOT loaded
----------------------------------------
fixed_positions_jsonl is NOT loaded
----------------------------------------
pssm_jsonl is NOT loaded
----------------------------------------
omit_AA_jsonl is NOT loaded
----------------------------------------
bias_AA_jsonl is NOT loaded
----------------------------------------
tied_positions_jsonl is NOT loaded
----------------------------------------
bias by residue dictionary is not loaded, or not provided
----------------------------------------
----------------------------------------
Number of edges: 48
Training noise level: 0.2A
Score for 2B3P_new from PDB, mean: 1.0754, std: 0.0000, sample size: 1,  global score, mean: 1.0754, std: 0.0000, sample size: 1
Score for 2B3P_new_1 from FASTA, mean: 3.0000, std: 0.0000, sample size: 1,  global score, mean: 3.0000, std: 0.0000, sample size: 1
Score for 2B3P_new_2 from FASTA, mean: 2.9937, std: 0.0000, sample size: 1,  global score, mean: 2.9937, std: 0.0000, sample size: 1
Score for 2B3P_new_3 from FASTA, mean: 2.9508, std: 0.0000, sample size: 1,  global score, mean: 2.9508, std: 0.0000, sample size: 1
Score for 2B3P_new_4 from FASTA, mean: 2.9714, std: 0.0000, sample size: 1,  global score, mean: 2.9714, std: 0.0000, sample size: 1
Score for 2B3P_new_5 from FASTA, mean: 2.9720, std: 0.0000, sample size: 1,  global score, mean: 2.9720, std: 0.0000, sample size: 1
Score for 2B3P_new_6 from FASTA, mean: 2.9612, std: 0.0000, sample size: 1,  global score, mean: 2.9612, std: 0.0000, sample size: 1
Score for 2B3P_new_7 from FASTA, mean: 2.9421, std: 0.0000, sample size: 1,  global score, mean: 2.9421, std: 0.0000, sample size: 1
Score for 2B3P_new_8 from FASTA, mean: 3.0170, std: 0.0000, sample size: 1,  global score, mean: 3.0170, std: 0.0000, sample size: 1
Score for 2B3P_new_9 from FASTA, mean: 3.0036, std: 0.0000, sample size: 1,  global score, mean: 3.0036, std: 0.0000, sample size: 1
Score for 2B3P_new_10 from FASTA, mean: 2.9963, std: 0.0000, sample size: 1,  global score, mean: 2.9963, std: 0.0000, sample size: 1
Score for 2B3P_new_11 from FASTA, mean: 2.9486, std: 0.0000, sample size: 1,  global score, mean: 2.9486, std: 0.0000, sample size: 1
Score for 2B3P_new_12 from FASTA, mean: 2.9424, std: 0.0000, sample size: 1,  global score, mean: 2.9424, std: 0.0000, sample size: 1
Score for 2B3P_new_13 from FASTA, mean: 3.0334, std: 0.0000, sample size: 1,  global score, mean: 3.0334, std: 0.0000, sample size: 1
Score for 2B3P_new_14 from FASTA, mean: 3.0118, std: 0.0000, sample size: 1,  global score, mean: 3.0118, std: 0.0000, sample size: 1
Score for 2B3P_new_15 from FASTA, mean: 2.9483, std: 0.0000, sample size: 1,  global score, mean: 2.9483, std: 0.0000, sample size: 1
Score for 2B3P_new_16 from FASTA, mean: 3.0016, std: 0.0000, sample size: 1,  global score, mean: 3.0016, std: 0.0000, sample size: 1
Score for 2B3P_new_17 from FASTA, mean: 3.0048, std: 0.0000, sample size: 1,  global score, mean: 3.0048, std: 0.0000, sample size: 1
Score for 2B3P_new_18 from FASTA, mean: 3.0059, std: 0.0000, sample size: 1,  global score, mean: 3.0059, std: 0.0000, sample size: 1
Score for 2B3P_new_19 from FASTA, mean: 2.9427, std: 0.0000, sample size: 1,  global score, mean: 2.9427, std: 0.0000, sample size: 1
Score for 2B3P_new_20 from FASTA, mean: 2.9610, std: 0.0000, sample size: 1,  global score, mean: 2.9610, std: 0.0000, sample size: 1
Score for 2B3P_new_21 from FASTA, mean: 2.9196, std: 0.0000, sample size: 1,  global score, mean: 2.9196, std: 0.0000, sample size: 1
Score for 2B3P_new_22 from FASTA, mean: 2.9681, std: 0.0000, sample size: 1,  global score, mean: 2.9681, std: 0.0000, sample size: 1
Score for 2B3P_new_23 from FASTA, mean: 2.9719, std: 0.0000, sample size: 1,  global score, mean: 2.9719, std: 0.0000, sample size: 1
Score for 2B3P_new_24 from FASTA, mean: 2.9854, std: 0.0000, sample size: 1,  global score, mean: 2.9854, std: 0.0000, sample size: 1
Score for 2B3P_new_25 from FASTA, mean: 2.8788, std: 0.0000, sample size: 1,  global score, mean: 2.8788, std: 0.0000, sample size: 1
